BỆNH VIỆN QUÂN Y 103,,,,,,,BM.01/QL.HTAT.01,,
KHOA SINH HÓA,,,,,,,Phiên bản: 3.0,,
"BIỂU MẪU THEO DÕI NHIỆT ĐỘ, ĐỘ ẨM PHÒNG XÉT NGHIỆM",,,,,,,,,
Khu vực: Khu vực Nước tiểu,,,Thời gian: Tháng ..... Năm 20....,,,,,,
Ngưỡng nhiệt độ quy định: 21 – 26°C,,,Ngưỡng độ ẩm quy định: 20 – 80%,,,,,,
,,,,,,,,,
Ngày,Giờ đo (Sáng),Nhiệt độ (°C),Độ ẩm (%),Giờ đo (Chiều),Nhiệt độ (°C),Độ ẩm (%),Đánh giá ISO,Ghi chú,Chữ ký KTV
1,08:30,,,14:30,,,,,
2,08:30,,,14:30,,,,,
3,08:30,,,14:30,,,,,
4,08:30,,,14:30,,,,,
5,08:30,,,14:30,,,,,
6,08:30,,,14:30,,,,,
7,08:30,,,14:30,,,,,
8,08:30,,,14:30,,,,,
9,08:30,,,14:30,,,,,
10,08:30,,,14:30,,,,,
11,08:30,,,14:30,,,,,
12,08:30,,,14:30,,,,,
13,08:30,,,14:30,,,,,
14,08:30,,,14:30,,,,,
15,08:30,,,14:30,,,,,
16,08:30,,,14:30,,,,,
17,08:30,,,14:30,,,,,
18,08:30,,,14:30,,,,,
19,08:30,,,14:30,,,,,
20,08:30,,,14:30,,,,,
21,08:30,,,14:30,,,,,
22,08:30,,,14:30,,,,,
23,08:30,,,14:30,,,,,
24,08:30,,,14:30,,,,,
25,08:30,,,14:30,,,,,
26,08:30,,,14:30,,,,,
27,08:30,,,14:30,,,,,
28,08:30,,,14:30,,,,,
29,08:30,,,14:30,,,,,
30,08:30,,,14:30,,,,,
31,08:30,,,14:30,,,,,
,,,,,,,,,
Lãnh đạo BMK phê duyệt,,,,,,,Người xem xét,,
(Ký và ghi rõ họ tên),,,,,,,(Ký và ghi rõ họ tên),,
