BỘ MÔN - KHOA SINH HÓA - BỆNH VIỆN QUÂN Y 103,,,,,,,BM.06/QL.TRTB.01 (Phiên bản 4.0),,,,,,,,,,,,,,,,,,,,,,,
NHẬT KÝ HOẠT ĐỘNG TRANG THIẾT BỊ (HỆ THỐNG 25 MÁY XÉT NGHIỆM),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Quyển số: ..................,Từ ngày: ....................,Đến ngày: ....................,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Quy ước trạng thái máy: BT = Bình thường; KSD = Không sử dụng; H = Hỏng / Báo lỗi kỹ thuật,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ngày,Ca trực,Khung giờ,Người trực,Lượng sử dụng (Giờ),1. Máy XN Khí Máu GEM Premier 3000,2. Máy Primier Hb 9210 -M1,3. Máy XN nước tiểu LabUMat 2- M1,4. Máy Miễn dịch Cobas E602,5. Máy Primier Hb 9210- M2,6. Máy Primier Hb 9210- M1,7. Máy XN SH - MD tự động ARCHITECT-2,8. Máy nước tiểu ureader Plus 2 - M1,9. Máy xét nghiệm khí máu Geem 3500,10. Máy nước tiểu ureader Plus 2 - M2,11. Hệ thống Automation Máy XN sinh hóa AU5800-M4-5,12. Hệ thống Automation Máy XN sinh hóa AU5800-M6,13. Hệ thống Automation Máy XN MD DXI-M3,14. Hệ thống Automation Máy XN MD DXI-M4,15. Máy xét nghiệm Miễn dịch Maglumi X3,16. Máy xét nghiệm nước tiểu LabUmat 2-M2,17. Máy xét nghiệm HbA1C-HLC-723G11 (Tosoh),18. Máy XN SH-MD Anility,19. Máy xét nghiệm khí máu Geem 3500,20. Máy lắc VORTEX,21. Máy li tâm 24 lỗ lạnh UNIVERSAL 320R,22. Máy li tâm 68 lỗ ROTOFIX 32A,23. Máy lắc ngang,24. Máy li tâm Ependox-M1,25. Máy li tâm Ependox-M2,Ghi chú
1,Ca 1,07:00 – 11:30,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Ca 2,11:30 – 13:30,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Ca 3,13:30 – 16:30,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Ca 4,16:30 – 07:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,Ca 1,07:00 – 11:30,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,Ca 2,11:30 – 13:30,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,Ca 3,13:30 – 16:30,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,Ca 4,16:30 – 07:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,Ca 1,07:00 – 11:30,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,Ca 2,11:30 – 13:30,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,Ca 3,13:30 – 16:30,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,Ca 4,16:30 – 07:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,Ca 1,07:00 – 11:30,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,Ca 2,11:30 – 13:30,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,Ca 3,13:30 – 16:30,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,Ca 4,16:30 – 07:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,Ca 1,07:00 – 11:30,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,Ca 2,11:30 – 13:30,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,Ca 3,13:30 – 16:30,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,Ca 4,16:30 – 07:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,Ca 1,07:00 – 11:30,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,Ca 2,11:30 – 13:30,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,Ca 3,13:30 – 16:30,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,Ca 4,16:30 – 07:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,Ca 1,07:00 – 11:30,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,Ca 2,11:30 – 13:30,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,Ca 3,13:30 – 16:30,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,Ca 4,16:30 – 07:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,Ca 1,07:00 – 11:30,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,Ca 2,11:30 – 13:30,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,Ca 3,13:30 – 16:30,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,Ca 4,16:30 – 07:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,Ca 1,07:00 – 11:30,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,Ca 2,11:30 – 13:30,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,Ca 3,13:30 – 16:30,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,Ca 4,16:30 – 07:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,Ca 1,07:00 – 11:30,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,Ca 2,11:30 – 13:30,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,Ca 3,13:30 – 16:30,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,Ca 4,16:30 – 07:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,Ca 1,07:00 – 11:30,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,Ca 2,11:30 – 13:30,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,Ca 3,13:30 – 16:30,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,Ca 4,16:30 – 07:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,Ca 1,07:00 – 11:30,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,Ca 2,11:30 – 13:30,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,Ca 3,13:30 – 16:30,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,Ca 4,16:30 – 07:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,Ca 1,07:00 – 11:30,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,Ca 2,11:30 – 13:30,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,Ca 3,13:30 – 16:30,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,Ca 4,16:30 – 07:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,Ca 1,07:00 – 11:30,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,Ca 2,11:30 – 13:30,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,Ca 3,13:30 – 16:30,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,Ca 4,16:30 – 07:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,Ca 1,07:00 – 11:30,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,Ca 2,11:30 – 13:30,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,Ca 3,13:30 – 16:30,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,Ca 4,16:30 – 07:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,Ca 1,07:00 – 11:30,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,Ca 2,11:30 – 13:30,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,Ca 3,13:30 – 16:30,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,Ca 4,16:30 – 07:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,Ca 1,07:00 – 11:30,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,Ca 2,11:30 – 13:30,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,Ca 3,13:30 – 16:30,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,Ca 4,16:30 – 07:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,Ca 1,07:00 – 11:30,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,Ca 2,11:30 – 13:30,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,Ca 3,13:30 – 16:30,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,Ca 4,16:30 – 07:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,Ca 1,07:00 – 11:30,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,Ca 2,11:30 – 13:30,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,Ca 3,13:30 – 16:30,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,Ca 4,16:30 – 07:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,Ca 1,07:00 – 11:30,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,Ca 2,11:30 – 13:30,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,Ca 3,13:30 – 16:30,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,Ca 4,16:30 – 07:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,Ca 1,07:00 – 11:30,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,Ca 2,11:30 – 13:30,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,Ca 3,13:30 – 16:30,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,Ca 4,16:30 – 07:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,Ca 1,07:00 – 11:30,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,Ca 2,11:30 – 13:30,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,Ca 3,13:30 – 16:30,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,Ca 4,16:30 – 07:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,Ca 1,07:00 – 11:30,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,Ca 2,11:30 – 13:30,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,Ca 3,13:30 – 16:30,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,Ca 4,16:30 – 07:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,Ca 1,07:00 – 11:30,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,Ca 2,11:30 – 13:30,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,Ca 3,13:30 – 16:30,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,Ca 4,16:30 – 07:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,Ca 1,07:00 – 11:30,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,Ca 2,11:30 – 13:30,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,Ca 3,13:30 – 16:30,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,Ca 4,16:30 – 07:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,Ca 1,07:00 – 11:30,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,Ca 2,11:30 – 13:30,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,Ca 3,13:30 – 16:30,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,Ca 4,16:30 – 07:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,Ca 1,07:00 – 11:30,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,Ca 2,11:30 – 13:30,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,Ca 3,13:30 – 16:30,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,Ca 4,16:30 – 07:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,Ca 1,07:00 – 11:30,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,Ca 2,11:30 – 13:30,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,Ca 3,13:30 – 16:30,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,Ca 4,16:30 – 07:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,Ca 1,07:00 – 11:30,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,Ca 2,11:30 – 13:30,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,Ca 3,13:30 – 16:30,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,Ca 4,16:30 – 07:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,Ca 1,07:00 – 11:30,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,Ca 2,11:30 – 13:30,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,Ca 3,13:30 – 16:30,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,Ca 4,16:30 – 07:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,Ca 1,07:00 – 11:30,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,Ca 2,11:30 – 13:30,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,Ca 3,13:30 – 16:30,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,Ca 4,16:30 – 07:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lãnh đạo BMK phê duyệt,,,,,,Người xem xét,,,,,,,,,,,,,,,,,,,,,,,,
(Ký và ghi rõ họ tên),,,,,,(Ký và ghi rõ họ tên),,,,,,,,,,,,,,,,,,,,,,,,
