BỆNH VIỆN QUÂN Y 103,,,,,,,,,,BM.02/QL.HTAT.01
BỘ MÔN KHOA HÓA SINH,,,,,,,,,,Phiên bản: 3.0
PHIẾU THEO DÕI NHIỆT ĐỘ TỦ LẠNH MÁT,,,,,,,,,,
Tên thiết bị: .......................................,,,Mã thiết bị: .......................................,,,,,,,
Nhiệt độ yêu cầu: Ngăn mát từ 2°C đến 8°C,,,Thời gian: Tháng ..... Năm 20....,,,,,,,
Thời gian ghi: Sáng: 8 - 9 giờ; Chiều: 14h30 - 15h30,,,,,,,,,,
,,,,,,,,,,
Ngày,Ca đo,Giờ kiểm tra,Nhiệt độ (°C),Ngưỡng chuẩn,Đánh giá,Người theo dõi,Ghi chú,,,
1,Sáng,08:30,,2 – 8°C,,,,,,
1,Chiều,14:30,,2 – 8°C,,,,,,
2,Sáng,08:30,,2 – 8°C,,,,,,
2,Chiều,14:30,,2 – 8°C,,,,,,
3,Sáng,08:30,,2 – 8°C,,,,,,
3,Chiều,14:30,,2 – 8°C,,,,,,
4,Sáng,08:30,,2 – 8°C,,,,,,
4,Chiều,14:30,,2 – 8°C,,,,,,
5,Sáng,08:30,,2 – 8°C,,,,,,
5,Chiều,14:30,,2 – 8°C,,,,,,
6,Sáng,08:30,,2 – 8°C,,,,,,
6,Chiều,14:30,,2 – 8°C,,,,,,
7,Sáng,08:30,,2 – 8°C,,,,,,
7,Chiều,14:30,,2 – 8°C,,,,,,
8,Sáng,08:30,,2 – 8°C,,,,,,
8,Chiều,14:30,,2 – 8°C,,,,,,
9,Sáng,08:30,,2 – 8°C,,,,,,
9,Chiều,14:30,,2 – 8°C,,,,,,
10,Sáng,08:30,,2 – 8°C,,,,,,
10,Chiều,14:30,,2 – 8°C,,,,,,
11,Sáng,08:30,,2 – 8°C,,,,,,
11,Chiều,14:30,,2 – 8°C,,,,,,
12,Sáng,08:30,,2 – 8°C,,,,,,
12,Chiều,14:30,,2 – 8°C,,,,,,
13,Sáng,08:30,,2 – 8°C,,,,,,
13,Chiều,14:30,,2 – 8°C,,,,,,
14,Sáng,08:30,,2 – 8°C,,,,,,
14,Chiều,14:30,,2 – 8°C,,,,,,
15,Sáng,08:30,,2 – 8°C,,,,,,
15,Chiều,14:30,,2 – 8°C,,,,,,
16,Sáng,08:30,,2 – 8°C,,,,,,
16,Chiều,14:30,,2 – 8°C,,,,,,
17,Sáng,08:30,,2 – 8°C,,,,,,
17,Chiều,14:30,,2 – 8°C,,,,,,
18,Sáng,08:30,,2 – 8°C,,,,,,
18,Chiều,14:30,,2 – 8°C,,,,,,
19,Sáng,08:30,,2 – 8°C,,,,,,
19,Chiều,14:30,,2 – 8°C,,,,,,
20,Sáng,08:30,,2 – 8°C,,,,,,
20,Chiều,14:30,,2 – 8°C,,,,,,
21,Sáng,08:30,,2 – 8°C,,,,,,
21,Chiều,14:30,,2 – 8°C,,,,,,
22,Sáng,08:30,,2 – 8°C,,,,,,
22,Chiều,14:30,,2 – 8°C,,,,,,
23,Sáng,08:30,,2 – 8°C,,,,,,
23,Chiều,14:30,,2 – 8°C,,,,,,
24,Sáng,08:30,,2 – 8°C,,,,,,
24,Chiều,14:30,,2 – 8°C,,,,,,
25,Sáng,08:30,,2 – 8°C,,,,,,
25,Chiều,14:30,,2 – 8°C,,,,,,
26,Sáng,08:30,,2 – 8°C,,,,,,
26,Chiều,14:30,,2 – 8°C,,,,,,
27,Sáng,08:30,,2 – 8°C,,,,,,
27,Chiều,14:30,,2 – 8°C,,,,,,
28,Sáng,08:30,,2 – 8°C,,,,,,
28,Chiều,14:30,,2 – 8°C,,,,,,
29,Sáng,08:30,,2 – 8°C,,,,,,
29,Chiều,14:30,,2 – 8°C,,,,,,
30,Sáng,08:30,,2 – 8°C,,,,,,
30,Chiều,14:30,,2 – 8°C,,,,,,
31,Sáng,08:30,,2 – 8°C,,,,,,
31,Chiều,14:30,,2 – 8°C,,,,,,
,,,,,,,,,,
Lãnh đạo BMK,,,,,,Người xem xét,,,,
(Ký và ghi rõ họ tên),,,,,,(Ký và ghi rõ họ tên),,,,
